id,genre,song_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
7hZ1JuwJm4hZsS8IHnKDt3,Emo,Note to Self,0.207,0.894,4,-5.873,0,0.203,0.000854,2.34E-05,0.344,0.246,171.972,239880
7HKRWMTErKh56EIBeFcmdf,Emo,Seize the Day,0.393,0.802,5,-4.499,1,0.0367,0.0168,0,0.193,0.338,140.101,334067
0C71NJD4BhvPopTwI7a8KV,Emo,Seven Years,0.239,0.941,2,-4.535,0,0.0967,2.30E-05,2.38E-06,0.327,0.223,163.688,192787
00tB8c71eTcG5jV7PhuF4Q,Emo,How You Remind Me,0.612,0.698,0,-7.224,1,0.0357,0.248,3.09E-06,0.119,0.199,136.031,245360
0tWEB6BxbI48XN79QE1JbT,Emo,Everybody's Fool,0.437,0.835,2,-5.076,0,0.0405,0.00145,2.27E-05,0.245,0.296,190.222,195880
663Karu2rvKLdnY0eo1n3M,Emo,Call Me When You're Sober,0.45,0.883,7,-4.094,1,0.0524,0.00193,0,0.293,0.328,186.82,214707
3prLue3TDk0e0lWZ1Ah4t5,Emo,You Had Me At Hello,0.328,0.63,2,-9.991,1,0.0311,0.467,9.72E-05,0.539,0.423,169.848,269000
4MWnrs6VW8SsaMOiSM9pmE,Emo,You Should Have Killed Me When You Had The Chance,0.316,0.952,0,-5.369,0,0.274,0.0336,0,0.132,0.174,130.71,214000
1YrJCGCuGZQFBwTb6gwIEM,Emo,Blurry,0.44,0.932,3,-4.488,0,0.0584,0.0102,0,0.142,0.495,157.438,303920
2mI7XadiW2VoC3ptipPeo7,Emo,Wherever You Will Go,0.547,0.714,2,-5,1,0.0265,0.0361,0,0.146,0.367,112.028,207800
7kwiwQhWRBSP1PJv4ZFJUK,Emo,Chop Suey!,0.42,0.929,7,-3.899,0,0.121,0.000353,0.000747,0.122,0.3,127.204,210240
646J2jOtUe4Jflrmh6JFjN,Emo,Bring Me To Life,0.312,0.946,4,-3.209,0,0.107,0.00749,2.93E-06,0.288,0.297,189.892,235893
76aadnUFFANRNDs6L3aqxw,Emo,Through Glass,0.545,0.753,3,-4.618,0,0.036,0.0417,0,0.389,0.434,105.754,282947
3aAoy02NwrmZcqXYYjqNh2,Emo,Good Times,0.56,0.887,7,-6.314,1,0.0594,0.00388,0,0.341,0.198,130.026,224947
6TUd6BeKaEvhakhh6T2YJW,Emo,Bones,0.472,0.902,9,-3.607,1,0.0643,0.000679,0.124,0.0822,0.567,139.57,227000
4K09SdQoXx5e3NDQKqNQai,Emo,Coffee Shop Soundtrack,0.425,0.852,9,-6.148,1,0.12,0.00228,0,0.0963,0.43,184.936,181027
4EchqUKQ3qAQuRNKmeIpnf,Emo,The Kids Aren't Alright,0.523,0.943,1,-4.203,1,0.0337,0.00704,3.81E-05,0.0579,0.766,199.214,180160
3LI4MmibTkXH5cGpCGZgyw,Emo,Teenage Dirtbag,0.617,0.84,4,-4.063,1,0.0512,0.36,8.85E-05,0.179,0.57,189.352,241840
5cbpoIu3YjoOwbBDGUEp3P,Emo,Car Radio,0.766,0.519,9,-7.355,0,0.0366,0.098,0,0.0855,0.612,129.972,267720
3pxCXv0NACYfYnLjFcQW5D,Emo,Addicted,0.512,0.864,7,-4.146,1,0.0338,0.000821,0,0.0982,0.527,138.018,222827
2SiqlgLMfKQbczSMRp8drY,Emo,Into The Ocean,0.758,0.606,0,-6.444,1,0.0325,0.282,0,0.144,0.361,107.95,239947
1tL40tfdtUaSLek4DvDDr3,Emo,Hate Me,0.449,0.691,4,-5.65,0,0.0349,0.477,0,0.0966,0.201,186.534,380200
0J69x3mqm7U6tBPKsjpsWR,Emo,"Dear Maria, Count Me In",0.465,0.896,2,-3.126,1,0.0795,0.00725,0,0.206,0.569,181.014,182827
2TeiKDPE3RdamZG0pp5okI,Emo,Perfect,0.494,0.672,3,-4.877,1,0.0405,0.0273,0,0.105,0.557,156.208,277027
3Vi93V7o1tT28Cut4gSWi3,Emo,Be My Escape,0.554,0.864,9,-5.062,1,0.0394,0.00605,0,0.132,0.299,112.523,240453
3YD9EehnGOf88rGSZFrnHg,Emo,Stay Together For The Kids,0.519,0.78,2,-4.939,1,0.0356,0.00165,2.14E-05,0.156,0.166,145.125,239333
3iwsyTZzOWHZbHffBEyi1N,Emo,Right Now,0.524,0.967,8,-3.322,1,0.0392,0.000289,7.41E-06,0.324,0.731,116.273,167200
6EsBn1Md8C5YdbCzvwvZq8,Emo,Self Esteem,0.458,0.912,5,-3.666,1,0.0618,0.0175,0,0.363,0.611,104.526,257760
